"Variable","Importance","StDev","Model"
"dtm_cti_merit.dem_m_250m_s0..0cm_2018_v1.0_MERIT_topo_indices_250m",0.60596799792852,0.0621054520978634,"SVM"
"SoilGrids_SOC_SoilGrids_SOCstock",0.39196911402319,0.0455054142601532,"SVM"
"tmean_terraclimate_sites",0.307182765494857,0.0189334256875996,"SVM"
"aboveground_biomass_carbon_2010_Above_belowground_biomass",0.206255003274943,0.0140026634394864,"SVM"
"Snow.cover_era5_soilmoist_temp_snow",0.0452937957052704,0.00306301804702163,"SVM"
"pdsi_terraclimate_sites",0.0389500285368325,0.0108313298803364,"SVM"
"pr_terraclimate_sites",0.0256534245486972,0.00163507543359131,"SVM"
"BLDFIE_M_250m_ll_30_agg_SoilGrids",0.0249826675188512,0.00422387264265597,"SVM"
"belowground_biomass_carbon_2010_Above_belowground_biomass",0.00520933941559385,0.000647402392836455,"SVM"
"SMMR_SSMIS_thaw_days_NTSG_FT_SMMR_SSMIS_25km",0.00451238811846956,0.000251391160248168,"SVM"
"Soil.temperature.level.1_era5_soilmoist_temp_snow",0.00239631348879705,0.000120800679496127,"SVM"
"SMMR_SSMIS_transitional_days_NTSG_FT_SMMR_SSMIS_25km",0.00118890398311709,5.91632886116768e-05,"SVM"
"wtd_Water_table_depth",0.00056523626728449,4.42547254368706e-05,"SVM"
"PHIHOX_M_250m_ll_30_agg_SoilGrids",7.99246521790309e-05,1.47926362325347e-05,"SVM"
"Snow.depth_era5_soilmoist_temp_snow",3.00120351850097e-05,1.31527074668785e-05,"SVM"
"sol_watercontent.1500kPa_usda.3c2a1a_m_250m_b0..0cm_1950..2017_v0.1_SoilGrids_watercontent_30_agg",1.59991502892254e-05,1.67855249884049e-06,"SVM"
"ndvi3g_lower_mean_GIMMS3g_NDVI_sites_high_and_low_quality",2.68272845225681e-06,1.19790098076061e-07,"SVM"
"ESACCI_cavm_general_ESAwaterfix_broadevfix_mixfix_cropfix_nowaterglacier_ESACCI_CAVM_merged",1.3001863017692e-06,1.29492581666406e-07,"SVM"
"Thermokarst",7.6956710255871e-07,6.59807215795584e-08,"SVM"
"UiO_PEX_PERPROB_5.0_20181128_2000_2016_NH_UiO_PEX_20181128_2000_2016_NH",5.06076978616932e-07,6.44436246395175e-08,"SVM"
"Number_of_days_since_fire_classes_gfed_monthly_calc",4.35394568292224e-07,5.1914024450945e-08,"SVM"
"trend_20yrprior_terra_change_id",1.5986669620105e-07,2.40244041763407e-08,"SVM"
"Volumetric.soil.water.layer.1_era5_soilmoist_temp_snow",1.92637078555435e-08,3.26064515169079e-09,"SVM"
