"Overall","Variable2","Importance"
41.0987741748843,"Soil organic carbon stock",41.0987741748843
41.0138547121526,"Soil pH",41.0138547121526
39.9422962371555,"Compound topographic index",39.9422962371555
36.4980491899117,"Solar radiation",36.4980491899117
34.7611743161598,"Atmospheric CO2",34.7611743161598
34.5601430789239,"Volumetric soil water",34.5601430789239
34.3103208932506,"Percent tree cover",34.3103208932506
33.9628821045709,"Permafrost probability",33.9628821045709
31.6177162072904,"NDVI",31.6177162072904
31.2277643711319,"Percent non-tree vegetation",31.2277643711319
28.5860912921386,"Vapor pressure deficit",28.5860912921386
28.1209143618398,"Snow cover",28.1209143618398
25.5290867650137,"Soil temperature",25.5290867650137
22.5300539701786,"Land surface temperature (daytime)",22.5300539701786
