"Variable","Importance","StDev","Model","Importance_max","Variable2"
"Percent_NonTree_Vegetation_MOD44B_sites",2.10836428197752,0.217304462785424,"SVM",2.10836428197752,"Percent_NonTree_Vegetation_MOD44B_sites"
"Percent_NonTree_Vegetation_MOD44B_sites",0.0239962865011244,0.00982991711642815,"GBM",2.10836428197752,"Percent_NonTree_Vegetation_MOD44B_sites"
"Percent_NonVegetated_MOD44B_sites",0,0,"SVM",0,"Percent_NonVegetated_MOD44B_sites"
"Percent_NonVegetated_MOD44B_sites",0,0,"GBM",0,"Percent_NonVegetated_MOD44B_sites"
"Percent_Tree_Cover_MOD44B_sites",0.299138348490793,0.0520850525145253,"GBM",12.1986765269887,"Percent_Tree_Cover_MOD44B_sites"
"Percent_Tree_Cover_MOD44B_sites",12.1986765269887,0.350964322904676,"RF",12.1986765269887,"Percent_Tree_Cover_MOD44B_sites"
"Percent_Tree_Cover_MOD44B_sites",3.48723686206948,0.246984535021037,"SVM",12.1986765269887,"Percent_Tree_Cover_MOD44B_sites"
"PHIHOX_M_sl1_250m_ll_SoilGrids",0,0,"SVM",0,"PHIHOX_M_sl1_250m_ll_SoilGrids"
"PHIHOX_M_sl1_250m_ll_SoilGrids",0,0,"GBM",0,"PHIHOX_M_sl1_250m_ll_SoilGrids"
"ppt_TerraClimate_averages",0,0,"SVM",0,"ppt_TerraClimate_averages"
"pr_terraclimate_sites",2.72268789746429,0.171392413382816,"SVM",2.72268789746429,"pr_terraclimate_sites"
"Snow.cover_era5_soilmoist_temp_snow",0,0,"GBM",1.74873514763199,"Snow.cover_era5_soilmoist_temp_snow"
"Snow.cover_era5_soilmoist_temp_snow",1.74873514763199,0.105459549593103,"SVM",1.74873514763199,"Snow.cover_era5_soilmoist_temp_snow"
"Snow.depth_era5_soilmoist_temp_snow",0,0,"SVM",0,"Snow.depth_era5_soilmoist_temp_snow"
"Snow.depth_era5_soilmoist_temp_snow",0,0,"GBM",0,"Snow.depth_era5_soilmoist_temp_snow"
"Soil.temperature.level.1_era5_soilmoist_temp_snow",43.6837900809331,0.836005812285723,"GBM",43.6837900809331,"Soil.temperature.level.1_era5_soilmoist_temp_snow"
"Soil.temperature.level.1_era5_soilmoist_temp_snow",29.1454758256501,0.748501836248384,"SVM",43.6837900809331,"Soil.temperature.level.1_era5_soilmoist_temp_snow"
"Soil.temperature.level.1_era5_soilmoist_temp_snow",32.5330605688959,0.522464048571114,"RF",43.6837900809331,"Soil.temperature.level.1_era5_soilmoist_temp_snow"
"SoilGrids_SOC_SoilGrids_SOCstock",0.670724122231247,0.0827034877507651,"GBM",7.64391577549888,"SoilGrids_SOC_SoilGrids_SOCstock"
"SoilGrids_SOC_SoilGrids_SOCstock",7.64391577549888,0.275424327250218,"RF",7.64391577549888,"SoilGrids_SOC_SoilGrids_SOCstock"
"SoilGrids_SOC_SoilGrids_SOCstock",0,0,"SVM",7.64391577549888,"SoilGrids_SOC_SoilGrids_SOCstock"
"sol_watercontent.1500kPa_usda.3c2a1a_m_250m_b0..0cm_1950..2017_v0.1_SoilGrids_watercontent",5.21042854146872,0.266566313850223,"SVM",5.21042854146872,"sol_watercontent.1500kPa_usda.3c2a1a_m_250m_b0..0cm_1950..2017_v0.1_SoilGrids_watercontent"
"sol_watercontent.1500kPa_usda.3c2a1a_m_250m_b0..0cm_1950..2017_v0.1_SoilGrids_watercontent",0,0,"GBM",5.21042854146872,"sol_watercontent.1500kPa_usda.3c2a1a_m_250m_b0..0cm_1950..2017_v0.1_SoilGrids_watercontent"
"srad_terraclimate_sites",8.68161774300671,0.257093793971011,"RF",11.2316377709175,"srad_terraclimate_sites"
"srad_terraclimate_sites",0.065844237675127,0.00793828252052864,"GBM",11.2316377709175,"srad_terraclimate_sites"
"srad_terraclimate_sites",11.2316377709175,0.119011486200382,"SVM",11.2316377709175,"srad_terraclimate_sites"
"terra_trend_19601990",0,0,"SVM",7.51245953156001,"terra_trend_19601990"
"terra_trend_19601990",1.80419632767349,0.0855974986739773,"GBM",7.51245953156001,"terra_trend_19601990"
"terra_trend_19601990",7.51245953156001,0.169490075343527,"RF",7.51245953156001,"terra_trend_19601990"
"TKHP_Thermokarst",0,0,"SVM",0,"TKHP_Thermokarst"
"TKHP_Thermokarst1",0,0,"SVM",0,"TKHP_Thermokarst1"
"TKHP_Thermokarst3",0,0,"SVM",0,"TKHP_Thermokarst3"
"TKWP_Thermokarst",0,0,"SVM",0,"TKWP_Thermokarst"
"TKWP_Thermokarst1",0,0,"SVM",0,"TKWP_Thermokarst1"
"TKWP_Thermokarst2",0,0,"SVM",0,"TKWP_Thermokarst2"
"TKWP_Thermokarst4",0,0,"SVM",0,"TKWP_Thermokarst4"
"tmean_TerraClimate_averages",6.52632084985456,0.155744502768672,"SVM",6.52632084985456,"tmean_TerraClimate_averages"
"trend_20yrprior_terra_change_id",3.72103174453254,0.126065896560193,"RF",3.72103174453254,"trend_20yrprior_terra_change_id"
"trend_20yrprior_terra_change_id",0,0,"GBM",3.72103174453254,"trend_20yrprior_terra_change_id"
"trend_20yrprior_terra_change_id",0,0,"SVM",3.72103174453254,"trend_20yrprior_terra_change_id"
"UiO_PEX_PERPROB_5.0_20181128_2000_2016_NH_UiO_PEX_20181128_2000_2016_NH",1.63191605468425,0.160428062454484,"GBM",8.65475479030071,"UiO_PEX_PERPROB_5.0_20181128_2000_2016_NH_UiO_PEX_20181128_2000_2016_NH"
"UiO_PEX_PERPROB_5.0_20181128_2000_2016_NH_UiO_PEX_20181128_2000_2016_NH",8.65475479030071,0.354800670278636,"SVM",8.65475479030071,"UiO_PEX_PERPROB_5.0_20181128_2000_2016_NH_UiO_PEX_20181128_2000_2016_NH"
"Volumetric.soil.water.layer.1_era5_soilmoist_temp_snow",0,0,"SVM",0,"Volumetric.soil.water.layer.1_era5_soilmoist_temp_snow"
"vpd_terraclimate_sites",2.46920866354419,0.103196613952364,"SVM",2.46920866354419,"vpd_terraclimate_sites"
"vpd_terraclimate_sites",0.0668760837536942,0.00665899193013642,"GBM",2.46920866354419,"vpd_terraclimate_sites"
"water_ground_MCD43A4_annual_water_ground_sites_low_quality",0,0,"GBM",0,"water_ground_MCD43A4_annual_water_ground_sites_low_quality"
"water_ground_MCD43A4_annual_water_ground_sites_low_quality",0,0,"SVM",0,"water_ground_MCD43A4_annual_water_ground_sites_low_quality"
"water_vegetation_MCD43A4_annual_water_vegetation_sites_low_quality",0,0,"GBM",4.85959625602213,"water_vegetation_MCD43A4_annual_water_vegetation_sites_low_quality"
"water_vegetation_MCD43A4_annual_water_vegetation_sites_low_quality",4.85959625602213,0.391923035117635,"SVM",4.85959625602213,"water_vegetation_MCD43A4_annual_water_vegetation_sites_low_quality"
