"Variable","Importance","StDev","Model"
"SoilGrids_SOC_SoilGrids_SOCstock",0.352998019943825,0.0551981926934168,"SVM"
"Snow.cover_era5_soilmoist_temp_snow",0.14743200793541,0.00559713301786601,"SVM"
"pr_terraclimate_sites",0.0723957548012103,0.00275594791535276,"SVM"
"BLDFIE_M_250m_ll_30_agg_SoilGrids",0.0298719420513389,0.00574445911025187,"SVM"
"pdsi_terraclimate_sites",0.0252756496754909,0.0167457996045593,"SVM"
"SMMR_SSMIS_thaw_days_NTSG_FT_SMMR_SSMIS_25km",0.0136679036931742,0.000549799500423233,"SVM"
"belowground_biomass_carbon_2010_Above_belowground_biomass",0.0105851982612959,0.00125140212438673,"SVM"
"Soil.temperature.level.1_era5_soilmoist_temp_snow",0.00704382593349386,0.000225985588521761,"SVM"
"SMMR_SSMIS_transitional_days_NTSG_FT_SMMR_SSMIS_25km",0.001392170054311,6.4530187176536e-05,"SVM"
"wtd_Water_table_depth",0.000534021112158101,4.50650166058798e-05,"SVM"
"Snow.depth_era5_soilmoist_temp_snow",0.000120776769572899,2.48999380850084e-05,"SVM"
"PHIHOX_M_250m_ll_30_agg_SoilGrids",7.35865755991227e-05,7.76095127942366e-06,"SVM"
"sol_watercontent.1500kPa_usda.3c2a1a_m_250m_b0..0cm_1950..2017_v0.1_SoilGrids_watercontent_30_agg",2.03101451587173e-05,2.37588972046812e-06,"SVM"
"ndvi3g_lower_mean_GIMMS3g_NDVI_sites_high_and_low_quality",6.14329703573446e-06,1.73557261471422e-07,"SVM"
"ESACCI_cavm_general_ESAwaterfix_broadevfix_mixfix_cropfix_nowaterglacier_ESACCI_CAVM_merged",2.2454234007796e-06,2.37853532183412e-07,"SVM"
"UiO_PEX_PERPROB_5.0_20181128_2000_2016_NH_UiO_PEX_20181128_2000_2016_NH",1.22922285896721e-06,8.75740371263932e-08,"SVM"
"Thermokarst",9.76121337856739e-07,7.21521246192445e-08,"SVM"
"Number_of_days_since_fire_classes_gfed_monthly_calc",9.26659216204939e-07,8.15343206692655e-08,"SVM"
"trend_20yrprior_terra_change_id",2.96711320189047e-07,3.1336859149927e-08,"SVM"
"Volumetric.soil.water.layer.1_era5_soilmoist_temp_snow",4.58248638324221e-08,4.63690371852828e-09,"SVM"
