"Overall","Variable2","Importance"
41.9579934737252,"Soil organic carbon stock",41.9579934737252
32.0633449428091,"Soil pH",32.0633449428091
32.0423203828295,"Volumetric soil water",32.0423203828295
31.6037002941661,"Permafrost probability",31.6037002941661
31.055224851595,"Compound topographic index",31.055224851595
27.8020686176197,"NDVI",27.8020686176197
26.1027967896278,"Percent tree cover",26.1027967896278
24.9826552282572,"Vapor pressure deficit",24.9826552282572
23.4228373406183,"Monthly air temperature",23.4228373406183
23.1588511326028,"Percent non-tree vegetation",23.1588511326028
23.0533790117762,"Solar radiation",23.0533790117762
22.9990445147136,"Soil temperature",22.9990445147136
20.6038399778259,"Snow cover",20.6038399778259
19.5714123373851,"Atmospheric CO2",19.5714123373851
